device_id,dev_type,batch,deveui,appeui,appkey
20260618H001,Hub,0,2026061801000001,D3A1805B54FA1185,50AD907AF05F8C5B450F821D83216788
20260618H002,Hub,0,2026061801000002,8A612A8B620D6EBC,B7D15D51A80AFF45896702219F35288A
20260618H003,Hub,0,2026061801000003,59F544F02D33BF90,BA085AFE57B4FBA980DD359F6F4FB5E0
20260618H004,Hub,0,2026061801000004,2E285F5DBF2CBE20,FF2C07E20F9CC6452A1031C55132A05F
20260618H005,Hub,0,2026061801000005,E0A73BBBAD8F54B8,B12F714E7B160B4185F33E56745B3403
20260618H006,Hub,0,2026061801000006,1CBA7B9B6C976E72,9F2D20FE9B01BD590B5A0B1780D9D062
20260618H007,Hub,0,2026061801000007,093C2356D29766CA,7CC43129105228C43888867507E9468F
20260618H008,Hub,0,2026061801000008,BFCCCD0D4CAD8813,8B01D474EC625A6EE9C2138FC69B0E23
20260618H009,Hub,0,2026061801000009,EC698073405A57EC,B4A9B8641DA55E52D51EC10622FBA2CF
20260618H010,Hub,0,202606180100000A,8A141672942DB0F2,EE248EFC38A334800FB1C4472A53D78B
